,yt_title,comment
220,bbno$ & Rich Brian - edamame (Official Video) - YouTube,New season of breaking bad looking fire🔥
221,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I was ready to praise rich Brian exclusively but it's been so long since I've listened to bbnoguap that I forgot his flow was crazy good
222,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I was always wondering what knights do on their free time 
Questions answered!🙌🙌🙌"
223,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"You can’t dislike this and be serious, just one of those songs"
224,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Holy crap! What a tune!!!! REPLAY!!!
225,bbno$ & Rich Brian - edamame (Official Video) - YouTube,My sons grew up with Telletubies.😊I love the beat.
226,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"THIS IS SO GOOD! it's hypnotizing me
never heard anything better"
227,bbno$ & Rich Brian - edamame (Official Video) - YouTube,this song always appears on my homepage
228,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"I want to thank my teenagers for waking up like
""Balls hangin low while I'm poppin bottle off a yacht"" ⛵⛵"
229,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"the way he says ""clang-cling"" is so satisfying"
230,bbno$ & Rich Brian - edamame (Official Video) - YouTube,for a 2 minute music video i actually find this long
231,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Oh so satisfying song 🤩 really
232,bbno$ & Rich Brian - edamame (Official Video) - YouTube,I'm not a hip hop guy but this one ROCKS!!!
233,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Brian's first verse is so addicting...

Edit: thanks for the likes!"
234,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Can NOT get enough of this song!
235,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The appearance of Yung Gravy is the cherry on top
236,bbno$ & Rich Brian - edamame (Official Video) - YouTube,Why is it always the ridiculously catchy bangers that are too short? 😭
237,bbno$ & Rich Brian - edamame (Official Video) - YouTube,The Super Car Passing SFX Is fire! 🔥
238,bbno$ & Rich Brian - edamame (Official Video) - YouTube,yo my mood just lew into the air in the first ten seconds
239,bbno$ & Rich Brian - edamame (Official Video) - YouTube,When you’re bored in dark souls
240,bbno$ & Rich Brian - edamame (Official Video) - YouTube,"Seriously i'm addicted with ""cling clang"""
241,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This song is taking rap/hip hop to another level bro..  Good Job bbno$!!!
242,bbno$ & Rich Brian - edamame (Official Video) - YouTube,i think your so talented and soo good looking :) good for you !!!
243,bbno$ & Rich Brian - edamame (Official Video) - YouTube,This video was made at 0:45 genius expression
